Year,Age,Gender,Educational Attainment,Personal Income,Population Count
1/1/2008,00 to 17,Male,Children under 15,No Income,0.00
1/1/2008,00 to 17,Male,No high school diploma,No Income,650889.00
1/1/2008,00 to 17,Male,No high school diploma,"$5,000 to $9,999",30152.00
1/1/2008,00 to 17,Male,No high school diploma,"$10,000 to $14,999",7092.00
1/1/2008,00 to 17,Male,No high school diploma,"$15,000 to $24,999",3974.00
1/1/2008,00 to 17,Male,No high school diploma,"$25,000 to $34,999",2606.00
1/1/2008,00 to 17,Male,No high school diploma,"$35,000 to $49,999",2227.00
1/1/2008,00 to 17,Male,High school or equivalent,No Income,0.00
1/1/2008,00 to 17,Male,"Some college, less than 4-yr degree",No Income,8664.00
1/1/2008,00 to 17,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",1304.00
1/1/2008,00 to 17,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",3465.00
1/1/2008,00 to 17,Male,Bachelor's degree or higher,No Income,0.00
1/1/2008,00 to 17,Female,Children under 15,No Income,0.00
1/1/2008,00 to 17,Female,No high school diploma,No Income,635274.00
1/1/2008,00 to 17,Female,No high school diploma,"$5,000 to $9,999",33202.00
1/1/2008,00 to 17,Female,No high school diploma,"$10,000 to $14,999",6857.00
1/1/2008,00 to 17,Female,No high school diploma,"$15,000 to $24,999",2009.00
1/1/2008,00 to 17,Female,High school or equivalent,No Income,4711.00
1/1/2008,00 to 17,Female,High school or equivalent,"$5,000 to $9,999",7672.00
1/1/2008,00 to 17,Female,"Some college, less than 4-yr degree",No Income,7598.00
1/1/2008,00 to 17,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",1565.00
1/1/2008,18 to 64,Male,No high school diploma,No Income,261172.00
1/1/2008,18 to 64,Male,No high school diploma,"$5,000 to $9,999",163263.00
1/1/2008,18 to 64,Male,No high school diploma,"$10,000 to $14,999",317119.00
1/1/2008,18 to 64,Male,No high school diploma,"$15,000 to $24,999",573769.00
1/1/2008,18 to 64,Male,No high school diploma,"$25,000 to $34,999",333713.00
1/1/2008,18 to 64,Male,No high school diploma,"$35,000 to $49,999",222761.00
1/1/2008,18 to 64,Male,No high school diploma,"$50,000 to $74,999",109200.00
1/1/2008,18 to 64,Male,No high school diploma,"$75,000 and over",44291.00
